Model,Valence_MAE_0_1,Valence_MSE_0_1,Valence_RMSE_0_1,Valence_R2,Valence_Pearson,Valence_CCC,Valence_Bias,Valence_Error_STD,Arousal_MAE_0_1,Arousal_MSE_0_1,Arousal_RMSE_0_1,Arousal_R2,Arousal_Pearson,Arousal_CCC,Arousal_Bias,Arousal_Error_STD,Overall_MAE_0_1,Overall_MSE_0_1,Overall_RMSE_0_1,Valence_MAE_1_9,Valence_MSE_1_9,Valence_RMSE_1_9,Arousal_MAE_1_9,Arousal_MSE_1_9,Arousal_RMSE_1_9,Overall_MAE_1_9,Overall_MSE_1_9,Overall_RMSE_1_9
LSTM,0.09473628550767899,0.014160024002194405,0.11899589909822272,0.34833329916000366,0.6281543970108032,0.5590206384658813,-0.03140143305063248,0.1148015484213829,0.09155803173780441,0.014306103810667992,0.11960812602272469,0.43355369567871094,0.6649990081787109,0.6388648152351379,-0.004629858303815126,0.11954308301210403,0.0931471660733223,0.014233047142624855,0.11930233502586969,0.7578902840614319,0.9062415361404419,0.9519671927857818,0.7324642539024353,0.9155906438827515,0.9568650081817975,0.7451773285865784,0.9109150171279907,0.9544186802069575
AST,0.09671961516141891,0.014716568402945995,0.12131186422995072,0.3227202892303467,0.653933048248291,0.5986236929893494,-0.044440049678087234,0.11290215700864792,0.0917496532201767,0.014048634096980095,0.11852693405711671,0.4437481760978699,0.7011421322822571,0.6755749583244324,-0.028541957959532738,0.11506275832653046,0.09423463046550751,0.014382603578269482,0.11992749300418766,0.7737569212913513,0.9418603777885437,0.9704949138396057,0.7339972257614136,0.8991125822067261,0.9482154724569337,0.7538770437240601,0.9204866290092468,0.9594199440335013
CNN,0.09948940575122833,0.01510451827198267,0.1229004404873419,0.3048661947250366,0.5837299823760986,0.4813772737979889,-0.02754165045917034,0.11979933083057404,0.09894106537103653,0.01581154763698578,0.12574397654355368,0.37394607067108154,0.6320066452026367,0.5683847069740295,-0.02516632154583931,0.12322521209716797,0.09921523183584213,0.015458018518984318,0.12433027997629667,0.7959152460098267,0.9666891694068909,0.9832035238987352,0.7915285229682922,1.0119390487670898,1.0059518123484295,0.7937218546867371,0.9893131852149963,0.9946422398103734
Dummy,0.1230403333902359,0.02179277502000332,0.14762376170523267,-0.002937912940979004,,1.5886311634672606e-13,-0.007989883422851562,0.14743773639202118,0.13188134133815765,0.025292893871665,0.1590373977140754,-0.0014652013778686523,,6.381525895823165e-14,0.006083254236727953,0.1589537113904953,0.1274607628583908,0.02354273945093155,0.15343643456145464,0.9843226671218872,1.3947376012802124,1.1809900936418614,1.0550507307052612,1.61874520778656,1.2722991817126033,1.0196861028671265,1.5067353248596191,1.2274914764916371
MLP,0.12329283356666565,0.02201242931187153,0.14836586302742127,-0.013046860694885254,0.0008034808561205864,2.943729305115994e-05,-0.01663297973573208,0.1474609076976776,0.13182967901229858,0.025296460837125778,0.1590486115535932,-0.0016064643859863281,0.00805056095123291,0.0006129199755378067,0.004396490752696991,0.1590205579996109,0.12756124138832092,0.023654364049434662,0.15379975308639043,0.9863426685333252,1.4087954759597778,1.1869269042193702,1.0546374320983887,1.6189734935760498,1.2723888924287456,1.0204899311065674,1.5138792991638184,1.2303980246911235
